horizon,target,variant,method,mae,rmse,mape
1,cpu_usage,clean,GRU-static,0.36374880919574426,0.4505260489909376,0.04351115397718139
1,mem_usage,clean,GRU-static,77115.10433398573,189350.07864949835,0.09309801853144362
1,mem_working_set,clean,GRU-static,75683.72713453554,185601.45001951008,0.09260633271019499
1,mem_rss,clean,GRU-static,69799.92365883793,185324.78187279595,0.09858693955740083
1,cpu_usage,injected,GRU-static,1.1062386418079,3.5214403344351894,0.030789218398811453
1,mem_usage,injected,GRU-static,141083.77336588796,296616.00360588037,0.16406621491552242
1,mem_working_set,injected,GRU-static,138975.30821289762,290875.8528335646,0.1637866896611159
1,mem_rss,injected,GRU-static,121917.67831752697,261043.51946487476,0.1677286255380683
1,cpu_usage,clean,persistence,0.17741430513931625,0.4603457905961022,0.013742236209193643
1,mem_usage,clean,persistence,55026.1714071379,187216.64613895252,0.06605305856796256
1,mem_working_set,clean,persistence,54334.31285468071,183559.92062961234,0.06618417496762694
1,mem_rss,clean,persistence,52725.54307250069,184028.56330692998,0.07396598671636036
1,cpu_usage,clean,ses,0.17741430513931625,0.4603457905961022,0.013742236209193643
1,mem_usage,clean,ses,61126.571125575734,188145.22688432847,0.07337455293423886
1,mem_working_set,clean,ses,63847.522228058304,185601.3956324699,0.07777056161039046
1,mem_rss,clean,ses,61960.76940739698,186079.79485772207,0.08692180280649058
1,cpu_usage,injected,persistence,1.0375942808059004,3.6871896880696577,0.026748026477239173
1,mem_usage,injected,persistence,148844.86472321587,371192.49633841414,0.16567738301404006
1,mem_working_set,injected,persistence,147044.2772144152,365112.2500172148,0.1658061752786468
1,mem_rss,injected,persistence,130177.8765718717,320929.3859002281,0.17219211410492147
1,cpu_usage,injected,ses,1.0375942808059004,3.6871896880696577,0.026748026477239173
1,mem_usage,injected,ses,165147.82992073116,401286.8324994102,0.18382153181766647
1,mem_working_set,injected,ses,163152.9407967785,394759.901073364,0.18396833925850842
1,mem_rss,injected,ses,144366.19578196973,344597.3980860854,0.1909807173452106
1,cpu_usage,injected_spike,GRU-static,2.8126666668970404,6.3832230244502,0.06760326895677199
1,mem_usage,injected_spike,GRU-static,263649.08290443075,449339.1143067471,0.29296783419895855
1,mem_working_set,injected_spike,GRU-static,260154.45233316734,440358.8396011021,0.2931157900187102
1,mem_rss,injected_spike,GRU-static,221156.57693677253,376845.16435287293,0.29355792139730297
1,cpu_usage,injected_normal,GRU-static,0.3722879561723053,0.4572684171811158,0.014955150245466899
1,mem_usage,injected_normal,GRU-static,88367.28509428141,197436.11998163705,0.10862442044096539
1,mem_working_set,injected_normal,GRU-static,86855.02267834623,193893.6150108658,0.10816103157036079
1,mem_rss,injected_normal,GRU-static,79234.09798924929,190714.86472387833,0.11360826616099758
2,cpu_usage,clean,GRU-static,1.591916956392423,1.6796772936693618,0.21279861084916132
2,mem_usage,clean,GRU-static,168399.41491467346,312150.4348438366,0.20291282410312558
2,mem_working_set,clean,GRU-static,165996.1484854292,306800.6016658501,0.20253473226255947
2,mem_rss,clean,GRU-static,155428.93681998237,297599.8103021176,0.21858250469805018
2,cpu_usage,injected,GRU-static,3.070464583813037,7.3790712686169595,0.10233078575773945
2,mem_usage,injected,GRU-static,214943.78002505403,410634.09090188926,0.2468879848198154
2,mem_working_set,injected,GRU-static,211667.4281178761,401761.67315108835,0.2464274422178317
2,mem_rss,injected,GRU-static,188401.8106117833,358540.9795012576,0.2562402300750799
2,cpu_usage,clean,persistence,0.3544908476254776,0.6506513025344127,0.02746033288108345
2,mem_usage,clean,persistence,109933.18386021072,264650.2878369229,0.13194736285443734
2,mem_working_set,clean,persistence,108550.81790762523,259478.19585855753,0.13221038701118884
2,mem_rss,clean,persistence,105326.89043065849,260137.02654555178,0.14775174546436248
2,cpu_usage,clean,ses,0.3544908476254776,0.6506513025344127,0.02746033288108345
2,mem_usage,clean,ses,119065.39785695767,265831.5483115927,0.14291236433803875
2,mem_working_set,clean,ses,117567.38459417586,260630.20004640208,0.1431968064103499
2,mem_rss,clean,ses,114101.31460385356,261319.8545325359,0.16006723581332194
2,cpu_usage,injected,persistence,2.0748507808762904,7.341703854872417,0.05343644772671355
2,mem_usage,injected,persistence,296557.2797894378,686625.3027735433,0.3300708663333121
2,mem_working_set,injected,persistence,292945.11314222205,675621.2686924014,0.33029077095631804
2,mem_rss,injected,persistence,259007.60460534785,581242.7644369425,0.34269609792916333
2,cpu_usage,injected,ses,2.0748507808762904,7.341703854872417,0.05343644772671355
2,mem_usage,injected,ses,304215.54244095786,701304.1586684078,0.3385972353523534
2,mem_working_set,injected,ses,308810.7885038363,706240.5356065931,0.3481752930201549
2,mem_rss,injected,ses,273038.1941278256,606066.7658595176,0.36125847093688557
2,cpu_usage,injected_spike,GRU-static,6.3337648200821475,13.1339934659043,0.16916023447863673
2,mem_usage,injected_spike,GRU-static,379067.25011533825,623623.2852751756,0.4161588678999309
2,mem_working_set,injected_spike,GRU-static,373266.03080885526,609379.945988685,0.4153984543270111
2,mem_rss,injected_spike,GRU-static,312835.9407179401,514569.405589611,0.4095203690472827
2,cpu_usage,injected_normal,GRU-static,1.6486020669853099,1.7361713558210992,0.07321232246085868
2,mem_usage,injected_normal,GRU-static,143433.04139933985,269516.2796782914,0.17313445115258796
2,mem_working_set,injected_normal,GRU-static,141256.80718134408,264466.5516166417,0.1728045662475946
2,mem_rss,injected_normal,GRU-static,134184.2355797388,263048.3365506834,0.18945407238218812
3,cpu_usage,clean,GRU-static,1.1167072015922532,1.6305309674181478,0.14591383278010137
3,mem_usage,clean,GRU-static,182737.18016814953,363633.5283911684,0.21698668814850952
3,mem_working_set,clean,GRU-static,181536.0887848988,356595.66994683066,0.21880148271684272
3,mem_rss,clean,GRU-static,174030.0255205855,349172.37169724354,0.24239027942746247
3,cpu_usage,injected,GRU-static,2.899829369109786,10.11659782317854,0.09128934890689552
3,mem_usage,injected,GRU-static,272918.47696760856,563746.8374023106,0.31135546506777667
3,mem_working_set,injected,GRU-static,270184.5496664434,550311.4266395182,0.3127453466263953
3,mem_rss,injected,GRU-static,246449.19196503167,489495.48301913874,0.3334876296380579
3,cpu_usage,clean,persistence,0.5317908535814461,0.7968980527325237,0.04119194953049067
3,mem_usage,clean,persistence,164960.2152549159,324336.78862892947,0.1979676405765674
3,mem_working_set,clean,persistence,162884.39370618726,317986.7257583081,0.19836327303888532
3,mem_rss,clean,persistence,158042.3602664612,318799.68977244216,0.2216867057273954
3,cpu_usage,clean,ses,0.5317908535814461,0.7968980527325237,0.04119194953049067
3,mem_usage,clean,ses,175128.90571547495,323524.36941841204,0.2102949444433562
3,mem_working_set,clean,ses,172890.4450368936,317119.2815171759,0.21068229973351152
3,mem_rss,clean,ses,163917.41606822363,318265.2184106787,0.2300011089508524
3,cpu_usage,injected,persistence,3.1123307726471037,10.98863684642982,0.0800789963118626
3,mem_usage,injected,persistence,444190.46383737633,995371.2313976303,0.4944283195967258
3,mem_working_set,injected,persistence,438747.79037922993,979550.8034066745,0.4947145158062054
3,mem_rss,injected,persistence,387791.53440586454,835258.7965452044,0.513138650259561
3,cpu_usage,injected,ses,3.1123307726471037,10.98863684642982,0.0800789963118626
3,mem_usage,injected,ses,466581.79767017165,1044340.2464467597,0.5191481507995483
3,mem_working_set,injected,ses,460847.9800256573,1027765.2427809247,0.5194302470374298
3,mem_rss,injected,ses,400154.1317674744,859963.8619499817,0.529410938145357
3,cpu_usage,injected_spike,GRU-static,7.64012684907287,18.233142938058258,0.1937054612534706
3,mem_usage,injected_spike,GRU-static,499604.41214676015,894440.2828765482,0.5461472094794787
3,mem_working_set,injected_spike,GRU-static,493315.0369727155,871611.1465612929,0.5471594605604029
3,mem_rss,injected_spike,GRU-static,430690.76703290036,743973.023739107,0.5637260003346702
3,cpu_usage,injected_normal,GRU-static,0.8076477553794823,0.8874484380935755,0.0460868889121464
3,mem_usage,injected_normal,GRU-static,172868.18525537325,324007.1024628944,0.20772758669300997
3,mem_working_set,injected_normal,GRU-static,171703.49336604835,318121.1903835212,0.2092841395513848
3,mem_rss,injected_normal,GRU-static,165132.17811283184,317910.46517239005,0.2318694320496599
