t,score,threshold_raw,threshold_alert,alert,label,mean_psi,drift_active,finetuned,stream_ordering
0,-0.7149776816368103,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
1,-0.24830858409404755,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
2,-0.7722151875495911,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
3,-0.24880845844745636,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
4,-0.6185629963874817,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
5,-0.26567280292510986,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
6,-0.2542523741722107,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
7,-0.9731599688529968,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
8,-0.2637212872505188,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
9,-0.7729043960571289,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
10,-0.7615251541137695,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
11,-0.9106930494308472,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
12,-0.877923846244812,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
13,-0.2946721911430359,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
14,-0.5105529427528381,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
15,-0.29997459053993225,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
16,-0.40738236904144287,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
17,-0.22914204001426697,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
18,-0.2329801768064499,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
19,-0.6695390343666077,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
20,-0.38511091470718384,-0.20853570103645325,-0.20853570103645325,0,1,,0,0,timestamp
21,-0.797105073928833,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
22,-0.7610510587692261,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
23,-0.47613629698753357,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
24,-0.6190469264984131,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
25,-0.6625502705574036,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
26,-0.5600003600120544,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
27,-0.8984074592590332,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
28,-0.508134126663208,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
29,-1.0773169994354248,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
30,-0.6322067379951477,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
31,-1.0876437425613403,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
32,-1.1206114292144775,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
33,-0.6163973808288574,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
34,-0.5803234577178955,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
35,-1.3434942960739136,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
36,-0.9981734156608582,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
37,-0.4386606216430664,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
38,-1.002988338470459,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
39,-1.3535642623901367,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
40,-0.971635103225708,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
41,-0.5149514079093933,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
42,-0.9509867429733276,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
43,-0.9143438339233398,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
44,-0.6452211141586304,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
45,-0.6166523694992065,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
46,-0.5945754647254944,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
47,-0.5186214447021484,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
48,-0.9238970279693604,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
49,-0.5167034268379211,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
50,-0.5446518659591675,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
51,-0.7680149078369141,-0.20853570103645325,-0.20853570103645325,0,0,,0,0,timestamp
