bucket,ts_start,ts_end,n_windows,mean_psi,max_psi,frac_features_major_shift,datetime_start
0,1679230275,1679325690,515,0.8214083909988403,2.4557604789733887,0.6932515337423313,2023-03-19 12:51:15
1,1679325720,1695258390,515,0.18971243500709534,0.7970894575119019,0.32515337423312884,2023-03-20 15:22:00
2,1695258420,1695279780,515,0.36130672693252563,1.1634619235992432,0.6073619631901841,2023-09-21 01:07:00
3,1695279780,1695304110,516,0.734992504119873,1.9760814905166626,0.7975460122699386,2023-09-21 07:03:00
4,1695304140,1695411810,515,1.274560809135437,3.1646811962127686,0.8220858895705522,2023-09-21 13:49:00
5,1695411810,1695434040,515,0.5264303088188171,1.693107008934021,0.6993865030674846,2023-09-22 19:43:30
6,1695434040,1695470115,516,0.16851294040679932,0.9023212790489197,0.22085889570552147,2023-09-23 01:54:00
7,1695471960,1696343700,515,0.31920772790908813,0.93953937292099,0.6319018404907976,2023-09-23 12:26:00
8,1696343715,1696369035,515,0.4678495526313782,2.067946195602417,0.7055214723926381,2023-10-03 14:35:15
9,1696369065,1696404420,516,0.18729114532470703,0.844154953956604,0.3067484662576687,2023-10-03 21:37:45
10,1696404780,1701894810,515,0.48243623971939087,1.7365806102752686,0.588957055214724,2023-10-04 07:33:00
11,1701894840,1701906510,515,0.4361935555934906,2.273009777069092,0.5521472392638037,2023-12-06 20:34:00
12,1701906525,1709248830,515,0.48548611998558044,2.4607560634613037,0.6380368098159509,2023-12-06 23:48:45
13,1709248860,1714068810,516,0.954555094242096,3.6570069789886475,0.7975460122699386,2024-02-29 23:21:00
14,1714068840,1714084260,515,2.7469635009765625,7.775888919830322,0.8282208588957055,2024-04-25 18:14:00
15,1714084290,1714099710,515,2.740224599838257,7.775888919830322,0.8282208588957055,2024-04-25 22:31:30
16,1714099740,1714115190,516,2.7302021980285645,7.777669429779053,0.8282208588957055,2024-04-26 02:49:00
17,1714115220,1714130640,515,2.7461209297180176,7.775888919830322,0.8282208588957055,2024-04-26 07:07:00
18,1714130670,1715099505,515,1.7937159538269043,5.382241725921631,0.8282208588957055,2024-04-26 11:24:30
19,1715099535,1715107245,516,0.817415177822113,3.0382931232452393,0.7361963190184049,2024-05-07 16:32:15
